titel,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse,short
Army Boxing Association,,british,,,sport and recreation,,,,,1,,aba
Army Officers Boxing Club,,british,,,sport and recreation,,,,,1,,aobc
Australian Carriage Driving Society,,australian,,,sport and recreation,,,,,1,,acds
Australian Outward Bound Trust,,australian,,,sport and recreation,,,,,1,,aobt
Australian Rugby Football League,,australian,,,sport and recreation,,,,,1,,arfl
Australian Underwater Federation,,australian,,,sport and recreation,,,,,1,,auf
Aviation Industry Association of New Zealand Incorporated,,new zealand,,,business and industry,,,,,1,,aiaonzi
Baltic Air Charter Association ,,british,,,business and industry,,,,,1,,baca
Belfast Master Mariners Club,,british,,,business and industry,,,,,1,,bmmc
Charities Aid Foundation,,british,,,business and industry,,,,,1,,caf
Charles Lindbergh Memorial Fund International Sponsoring Committee,,international,,,business and industry,,,,,1,,clmfisc
Chartered Institute of Personnel and Development,,british,,,business and industry,,,,,1,,ciopad
Chartered Management Institute,,british,,,business and industry,,,,,1,,cmi
City of London Club,,british,,,business and industry,,,,,1,,colc
Commanderie du Bontemps de Medoc et des Graves,,european,,,business and industry,,,,,1,,cdbdmedg
Company of Cutlers and Hallamshire,,british,,,business and industry,,,,,1,,cocah
16 Squadron 1939 until 1945,,british,,,armed services,,,,,1,,16s
Air Force Association of Australia,,australian,,,armed services,,,,,1,,afaoa
Army,,british,,,armed services,,,,,1,,a
Army Cadet Force,,british,,,armed services,,,,,1,,acf
Army Cadet Force Association,,british,,,armed services,,,,,1,,acfa
Association of Jewish Ex Servicemen and Women,,british,,,armed services,,,,,1,,aojesaw
Australian Military Forces,,australian,,,armed services,,,,,1,,amf
British American Forces Dining Club,,british,,,armed services,,,,,1,,bafdc
Burma Star Association,,british,,,armed services,,,,,1,,bsa
Canadian Army,,canadian,,,armed services,,,,,1,,cana
Prince William,male,british,,2,environment,children and young people,armed services,healthcare medical and hospices,anglican,0,british,PW
Tusk Trust,,british,,,environment,,,,,1,,tt
